P1500,PROCESADOR INTEL PENTIUM GOLD G6400 4.0GHZ 4MB 1200,PROCESADORES,10,1459.00,10
P1603,"Disipador CPU Thermaltake UX100 ARGB, 120mm, 1800RPM, Negro",REFRIGERACION,21,385.00,0
P1604,"Corsair iCUE H100i RGB PRO XT Enfriamiento Líquido para CPU, 2x 120mm, 2400RPM",REFRIGERACION,19,2399.00,0
P1605,"Disipador para CPU Corsair A500 Dual Fan, 120mm, 2400RPM",REFRIGERACION,19,2319.00,0
P1606,Gabinete Acteck Performance 480W Negro,GABINETE,35,$ 499.00 ,0
P1607,GABINETE ACTECK KIRUNA NEGRO 500W ATX AC-05008,GABINETE,26,$ 669.00 ,0
P1608,GABINETE ACTECK-E LYNX NEGRO 500W MICRO ATX USB 3.0 AC9290357506215929035,GABINETE,29,$ 559.00 ,0
P1609,GABINETE ADATA XPG INVADER BLANCO ATX MID-TOWER USB 3.0 C/TEMPLADO ARGB,GABINETE,23,"$ 1,669.00 ",0
P1610,GABINETE GIGABYTE AORUS C300 GLASS RGB MIDI TOWER NEGRO GB-AC300G,GABINETE,30,"$ 3,459.00 ",0
P1611,GABINETE NACEB EVOTEC SLIM VIENA EV-1011 ROJO 600W MATX,GABINETE,35,$ 709.00 ,0
P1612,Gabinete Ocelot CS-672 Gamer/ATX/Panel de vidrio templado,GABINETE,22,"$ 1,119.00 ",0
P1613,GABINETE ACTECK BALAM RUSH KRAKEN ATX NEGRO RGB C/TEMPLADO USB3.0 BR-929608,GABINETE,27,"$ 1,479.00 ",0
P1614,GABINETE INWIN 101 BLANCO SF ATX VIDRIO TEMPLADO,GABINETE,24,"$ 1,949.00 ",0
P1615,GABINETE ACTECK BALAM RUSH BASILISKO RGB ATX C/TEMPLADO USB3.0 BR-929585,GABINETE,26,$ 969.00 ,0
P1616,Gabinete Gigabyte GB-C200G Mid Tower Black Gb-C200G ATX GB-C200G,GABINETE,22,"$ 1,689.00 ",0
P1617,In Win 303 Gabinete ATX Mid Tower Negro USB 3.0,GABINETE,20,"$ 2,229.00 ",0
P1618,GABINETE INWIN 303 NEGRO ATX C/TEMPLADO + FUENTE PB750W RGB,GABINETE,19,"$ 4,179.00 ",0
P1619,GABINETE INWIN 216 NEGRO C/TEMPLADO E-ATX USB-C 3.0 IW-CS-216BLK,GABINETE,29,"$ 1,949.00 ",0
P1620,GABINETE ACTECK FUSION X MINI-ATX NEGRO 500W RGB USB3.0,GABINETE,35,$ 719.00 ,0
P1621,Inwin 101 Gabinete Negro ATX C/Templado USB 3.0,GABINETE,24,"$ 1,949.00 ",0
P1622,GABINETE NACEB EVOTEC SLIM ARUBA EV-1010 VERDE 600W MATX,GABINETE,28,$ 709.00 ,0
P1623,Gabinete Realteck 9 Bahias 400W Multiquemadora,GABINETE,36,$ 689.00 ,0
P1624,"MONITOR ASUS VG32VQ1B 31.5"" TUF GAMING CURVO WQHD 1MS 165HZ FREESYNC HDMI DP",MONITOR,14,"$ 11,279.00 ",0
P1625,"MONITOR GAMER GIGABYTE CURVO G27FC LED 27"" FHD 165HZ HDMI BOCINAS INTEGRADAS",MONITOR,16,"$ 7,919.00 ",0
P1626,"MONITOR SAMSUNG 34"" CURVO QLED HDMI DP THUNDERBOLT3 C/BOCINAS LC34J791WTLXZX",MONITOR,8,"$ 17,109.00 ",0
P1627,"MONITOR SAMSUNG 24"" 4MS FULL HD HDMI VGA LS24F350FHL",MONITOR,24,"$ 2,929.00 ",0
P1628,"MONITOR LG GAMING 27"" FULL HD FREESYNC 144HGZ HDMI",MONITOR,20,"$ 7,669.00 ",0
P1629,"MONITOR HP V214B 20.7"" LED VGA",MONITOR,23,"$ 2,369.00 ",0
P1630,"MONITOR GAMER GIGABYTE G27F-SA 27"" 1MS 144HZ FLAT 2XHDMI2.0 DP",MONITOR,15,"$ 7,359.00 ",0
P1631,"MONITOR GAMER GIGABYTE G32QC-SA 31.5"" 1MS 165HZ CURVO 2XHDMI2.0 DP",MONITOR,12,"$ 10,599.00 ",0
P1632,"MONITOR AOC 32"" GAMING CURVO 1MS 144HZ FREE SYNC HDMI DP CQ32G1",MONITOR,16,"$ 8,279.00 ",0
P1633,"MONITOR ASUS VA249HE 23.8"" FULL HD EYE CARE VGA HDMI",MONITOR,21,"$ 3,409.00 ",0
P1634,"MONITOR HP 24FW 23.8"" IPS FREESYNC VGA HDMI BLANCO 3KS62AA#ABA",MONITOR,18,"$ 4,649.00 ",0
P1635,"MONITOR LG 32MN500M-B 32"" FULL HD FREESYNC IPS HDMI",MONITOR,22,"$ 4,759.00 ",0
P1636,MONITOR LG 24MK430H-B FULL HD IPS FREESYNC VGA HDMI,MONITOR,27,"$ 2,939.00 ",0
P1637,"Monitor LG 24"" 24MP59G Gaming LED WIDE",MONITOR,21,"$ 3,639.00 ",0
P1638,"MONITOR SAMSUNG 32"" CURVO 4MS FULL HD HDMI BLANCO LC32F391FWLXZX",MONITOR,18,"$ 5,619.00 ",0
P1639,"Monitor Samsung 22"" LS22F355FHL LED Full HD",MONITOR,26,"$ 2,459.00 ",0
P1640,BOCINAS LOGITECH Z906 5.1 CANALES THX 980-000474,BOCINAS,12,"$ 5,389.00 ",0
P1641,Bocinas Logitech Z313 2.1 Canales,BOCINAS,32,$ 809.00 ,0
P1642,BOCINAS LOGITECH Z213 2.1 CANALES 980-001224,BOCINAS,36,$ 579.00 ,0
P1643,BOCINA LOGITECH Z337 2.1 BLUETOOTH 980-001260,BOCINAS,24,"$ 1,419.00 ",0
P1644,Bocinas Logitech Z207 Bluetooth color negro,BOCINAS,33,$ 859.00 ,0
P1645,BOCINAS LOGITECH Z333 2.1 CANALES 980-001203,BOCINAS,31,"$ 1,129.00 ",0
P1646,BOCINAS LOGITECH Z607 5.1 BLUETOOTH CON CONTROL RANURA SD Y USB 980-001315,BOCINAS,28,"$ 1,669.00 ",0
P1647,MOUSE INALAMBRICO LOGITECH M190 ROJO 910-005904 3 BOTONES OPTICO,MOUSE,49,$ 239.00 ,0
P1648,MOUSE LOGITECH MX VERTICAL BLUETOOTH USB TIPO-C,MOUSE,20,"$ 1,319.00 ",0
P1649,MOUSE LOGITECH M350 PEBBLE OPTICO COLOR BLANCO INALAMBRICO 910-005770,MOUSE,35,$ 299.00 ,0
P1650,MOUSE LOGITECH MX MASTER 3 INALÁMBRICO 4000DPI BT USB-C 910-005647,MOUSE,15,"$ 1,539.00 ",0
P1651,MOUSE KINGSTON HX PULSEFIRE FPS PRO RGB 16000 DPI NGENUITY HX-MC003B,MOUSE,17,"$ 1,019.00 ",0
P1652,Mouse Logitech MX Ergo Inalámbrico Tack ball,MOUSE,18,"$ 1,559.00 ",0
P1653,MOUSE LOGITECH M110 SILENCIOSO OPTICO COLOR NEGRO ALÁMBRICO USB 910-005493,MOUSE,33,$ 129.00 ,0
P1654,MOUSE LOGITECH M570 TRACKMAN LASER INALAMBRICO COLOR GRIS USB 910-001799,MOUSE,38,$ 779.00 ,0
P1655,Mouse Logitech Mx Anywhere 2s Optico Inalámbrico,MOUSE,16,"$ 1,199.00 ",0
P1656,Mouse Logitech M90 Alambrico Usb Negro,MOUSE,47,$ 109.00 ,0
P1657,MOUSE LOGITECH G502 GAMING LIGHTSPEED USB 16000 DPI 910-005566,MOUSE GAMER,20,"$ 1,999.00 ",0
P1658,Mouse Logitech G600 MMO Negro RGB Alámbrico,MOUSE GAMER,23,$ 989.00 ,0
P1659,MOUSE LOGITECH G203 LIGHTSYNC COLOR BLANCO RGB ALÁMBRICO 910-005794,MOUSE GAMER,24,$ 439.00 ,0
P1660,MOUSE NACEB SPARTAN LED NEGRO 2400DPI 5BOTONES NA-0932,MOUSE GAMER,32,$ 169.00 ,0
P1661,MOUSE ASUS ROG GLADIUS II CORE GAMING P507 6200PPP AURA SYNC,MOUSE GAMER,24,$ 939.00 ,0
P1662,MOUSE LOGITECH G300S ÓPTICO COLOR NEGRO ALAMBRICO 9 BOTONES 910-004344,MOUSE GAMER,33,$ 399.00 ,0
P1663,MOUSE LOGITECH G203 LIGHTSYNC COLOR NEGRO RGB ALAMBRICO 910-005793,MOUSE GAMER,30,$ 439.00 ,0
P1664,MOUSE LOGITECH G502 HERO GAMING NEGRO USB 16000 DPI 910-005550,MOUSE GAMER,21,$ 969.00 ,0
P1665,Mousepad Eagle Warrior EWPADF3226,MOUSEPAD,42,$ 109.00 ,0
P1666,MOUSEPAD ASUS GAMING NC01 ROG SHEATH BLK EXTRA GRANDE,MOUSEPAD,27,$ 479.00 ,0
P1667,MOUSEPAD KINGSTON HX FURY S SPEED EDITION E HX-MPFS-S-L,MOUSEPAD,24,$ 569.00 ,0
P1668,MOUSEPAD KINGSTON HX FURY S SPEED EDITION E HX-MPFS-S-XL,MOUSEPAD,20,$ 719.00 ,0
P1669,TECLADO LOGITECH K120 Plug-and-Play USB 920-004422,TECLADOS,36,$ 169.00 ,0
P1670,"TECLADO LENOVO SK-8823, ALAMBRICO, USB, ESPAÑOL, NEGRO 00XH611",TECLADOS,30,$ 189.00 ,0
P1671,TECLADO LOGITECH K380 BLANCO/BLUETOOTH/MOD: 920-009595,TECLADOS,26,$ 579.00 ,0
P1672,TECLADO USB MICROSOFT ERGONOMICO LXN-00003 NEGRO MULTIMEDIA REPOSAMUÑECAS ING LXN-00003,TECLADOS,20,"$ 1,209.00 ",0
P1673,Teclado Logitech K400 Plus Inalámbrico Touch,TECLADOS,34,$ 619.00 ,0
P1674,Teclado Gamer Logitech G413 Mecánico Carbono,TECLADOS GAMER,26,"$ 2,089.00 ",0
P1675,TECLADO ACTECK GAMER BALAM RUSH MURDER RETROILUMINADO ESP USB,TECLADOS GAMER,32,$ 479.00 ,0
P1676,TECLADO LOGITECH G213 PRODIGY RGB USB 920-008084,TECLADOS GAMER,28,$ 919.00 ,0
P1677,TECLADO ASUS TUF GAMING K7 USB/IP56/AURA SYNC/LIN/US,TECLADOS GAMER,12,"$ 1,959.00 ",0
P1678,TECLADO LOGITECH G915 TKL BLANCO RGB INALÁMBRICO,TECLADOS GAMER,10,"$ 2,909.00 ",0
P1679,TECLADO GAMER NACEB BLACK COBRA MECÁNICO RGB USB ESP NA-0944,TECLADOS GAMER,29,$ 719.00 ,0
P1680,TECLADO NACEB ZAURUS MECANICO RGB USB MOD: NA-0918,TECLADOS GAMER,15,"$ 1,199.00 ",0
P1681,TECLADO OCELOT GAMER MECANICO NEGRO SWITCH AZUL USB 2.0 OGMK01,TECLADOS GAMER,23,$ 649.00 ,0
P1682,"Teclado Gamer HyperX Alloy Origins RGB, Teclado Mecánico, HyperX Red Switch, Alámbrico, Negro",TECLADOS GAMER,8,2139.00,0
P1683,"Teclado Gamer HyperX Alloy FPS LED Rojo, Teclado Mecánico, Cherry MX Blue, Alámbrico, Negro",TECLADOS GAMER,10,2089.00,0
P1684,"Teclado Gamer HyperX Alloy FPS Pro LED Rojo, Teclado Mecánico, Cherry MX Blue, Alámbrico, Negro",TECLADOS GAMER,13,1809.00,0
P1685,"Teclado Gamer HyperX Alloy Core RGB, Alámbrico, Negro",TECLADOS GAMER,11,1349.00,0
P1686,KIT 2 EN 1 LOGITECH MK120 TECLADO Y MOUSE 920-004428,KIT,29,$ 269.00 ,0
P1687,KIT 2 EN 1 LOGITECH MK200 TECLADO Y MOUSE 920-002716,KIT,31,$ 289.00 ,0
P1688,KIT 2 EN 1 LOGITECH - MOUSE M90 / TECLADO K120,KIT,27,$ 269.00 ,0
P1689,KIT 2 EN 1 LOGITECH MK270 TECLADO Y MOUSE INALAMBRICO 920-004432,KIT,26,$ 439.00 ,0
P1690,Teclado y mouse Gigabyte Alámbrico GK-KM3100,KIT,32,$ 259.00 ,0
P1691,KIT 2 EN 1 ACTECK K200 TECLADO Y MOUSE USB NEGRO 1000DPI AC-916639,KIT,41,$ 199.00 ,0
P1692,KIT 2 EN 1 LOGITECH MK295 INALAMBRICO TECLADO MULTIMEDIA MOUSE 920-009792,KIT,33,$ 589.00 ,0
P1693,KIT 2 EN 1 MICROSOFT DESKTOP 850 INALAMBRICO TECLADO Y MOUSE OPTICO PN9-00004,KIT,26,$ 749.00 ,0
P1694,KIT 2 EN 1 MICROSOFT DESKTOP 600 USB TECLADO Y MOUSE OPTICO APB-00004,KIT,29,$ 509.00 ,0
P1695,Web Cam Logitech C920S Full HD Pro Autoenfoque con micrófono,WEB CAM,15,"$ 1,579.00 ",0
P1696,WebCam Avermedia PW313 1080p 30Fps USB Micrófono MD202004,WEB CAM,10,"$ 1,929.00 ",0
P1697,WebCam Topsky FulHD 5 MP 30Fps 1080P Autofoco TOP-WEB-180,WEB CAM,16,$ 759.00 ,0
P1698,DIADEMA LOGITECH H390 STEREO NEGRA CON MICROFONO USB 981-000060,DIADEMAS,34,$ 599.00 ,0
P1699,DIADEMA KINGSTON HX CLOUD STINGER NEGRA/ROJO C/MIC 3.5MM HX-HSCS-BK/NA,DIADEMAS,16,"$ 1,105.00 ",0
P1700,DIADEMA KINGSTON HX CLOUD STINGER CORE PC NEGRO C/MIC 3.5MM HX-HSCSC2-BK/WW,DIADEMAS,26,$ 919.00 ,0
P1701,Diadema Corsair HS35 Stereo Gaming Azul 3.5 mm,DIADEMAS,20,$ 999.00 ,0
P1702,DIADEMA LOGITECH H600 STEREO NEGRA CON MICROFONO INALÁMBRICA 981-000386,DIADEMAS,23,$ 935.00 ,0
P1703,DIADEMA KINGSTON HX CLOUD STINGER CORE 7.1 PC NEGRO C/MIC 3.5MM HHSS1C-AA-BK/G,DIADEMAS,16,"$ 1,279.00 ",0
P1704,DIADEMA KINGSTON HX CLOUD REVOLVER S 7.1 NEGRO C/MIC 3.5MM HX-HSCRS-GM/NA,DIADEMAS,8,"$ 2,689.00 ",0
P1705,DIADEMA KINGSTON HX CLOUD ALPHA S 7.1 NEGRO C/MIC 3.5MM HX-HSCAS-BK-WW,DIADEMAS,12,"$ 2,759.00 ",0
P1706,DIADEMA KINGSTON HX CLOUDX ALAMBRICA HX-HS5CX-SR,DIADEMAS,17,"$ 1,469.00 ",0
P1707,DIADEMA KINGSTON HX CLOUD ALPHA S 7.1 NEGRO/AZUL C/MIC 3.5MM HX-HSCAS-BL/WW,DIADEMAS,9,"$ 2,629.00 ",0
P1708,DIADEMA KINGSTON CLOUD BLUE P/PLAY STATION4 HX-HSCLS-BL/AM,DIADEMAS,11,"$ 1,789.00 ",0
P1709,DIADEMA KINGSTON HX CLOUD STINGER CORE INALAMBRICAS 7.1 BLANCO 3.5 HHSS1C-KB-WT/G,DIADEMAS,10,"$ 1,969.00 ",0
P1710,Diadema Logitech G635 Gamming 7.1 Canales,DIADEMAS,8,"$ 2,159.00 ",0
